business_id,text,restaurant
ZDOW_bRF6wtCNwkakMF-lA,"What a joke! Had a guy (Jessie) come look at our yard for an estimate on a wall extention and enclosure... took measurements of the space, but never got back with me on a cost or anything! Very UNprofessional!!!",0
lJbxx9ym2CSzT0u7Xv3JAg,"I called here on a Sunday trying to get a last minute appointment after having a bad experience somewhere else. The girl that answered the phone (Tori) accommodated me so perfectly and set me up with a last minute same day appointment because I was flying out the next morning. She did a fantastic job. So natural looking, full, and lasted along time. I always hear people say how their lashes last 3-4 weeks. When Tori does mine they last at least 5weeks. I also got them done by her in August before I went to Greece. I told her I was gonna be Gina awhile and spend a lot of time in the water she did the best job ever I seriously didn't even think about a fill until at least the 7th week.   Place is clean, girls are friendly, there is also a package on fills.   Basically all around recommended.  Thanks Tori",0
kZxFQvjgaMnAxFDkK1bfxA,"This place is ok, not as pleasant as the one we used to go to in Phoenix. There's one girl who is really short and we know so much about her because she is always talking about herself to her co-workers and will not focus on her job. She's messed up on orders a few times and it even looks like her co-workers want her to shut up. The ones who make up for the service are the older ones who usually do not mess up on orders.",1
KNVMahZH_7xDDjZz-K6lwg,"Stopped in on the Saturday after Thanksgiving, and I'm so glad we did.  We had fun browsing, as everything was very appealing and well-priced.  It's the sort of place where you see something cute that you want and you think \I can actually afford this!\""  A rare treat.  They were also offering tastings of their sparkling wines, which was really fun.  $1 got me a little mini-glass of bubbly, and they had some strawberries, chocolate, crackers, and cheese for snacking as well!  I bought two bottles of inexpensive wine that were recommended by the owners.  Next time I'm in Cleveland, I'd love to go back to Tremont and return to this store.  It's a really pleasant place to be, and I think there are some great, affordable finds - both for wine and home decor.  Also - they have an adorable dog!  Even more reason to check it out!""",0
D1PhUlkQA1ZsVe9Cx4yqOw,"I really enjoyed Jodi from start to finish.   I first filled out the contact information portion on the placenta lady website . Then she emailed me and we arranged a day and time for us to talk on the phone. Once we spoke oon the phone, I felt very reassured about my decision.  After delivery, I texted her. She came over to my home 2 days after I was discharged. She was on time, professional,  and knew exactly what she  was doing. The best part, even after doing research on this, was being educated on postpartum placental consumption. My entire family enjoyed being educated on the topic as to why I chose to do this.  Jodi is like the perfect spokesperson! And she offers military discount as well. This was my first pregnancy so I can't really compare it and say I felt the difference from a previous pregnancy, BUT what I can say is  that I truly believe this process assisted in my hormonal balance and getting back to My normal routine naturally quicker.  Thank you Jodi !!!!!!!",0
Kx7DTzbfY4K-uYJKTibesg,"We've gotten delivery from them about 5 times now and everything has been just stellar.  Food arrives within 45 mins, is piping hot, the portions are HUGE, and everything is better than I would expect, every time.  Really surprising how well their Thai food is seasoned, food isn't too greasy, they aren't afraid to kick the heat up a bit, and know how to make every part of the dish taste good, from the rice, to the veggies to the proteins.  Great stuff, highly recommend. I wake up at nights now craving their <dish>curry rice</dish>.",1
hray1YExFpLjorP2HAuusg,"I can't believe I have forgetten about this place, as I have not been here in awhile.  This is an A-OK lunch place and take home baked goods place, even though I have never taken home any \baked goods.\"" They look very tempting though....  If you love the Stetson chopped salad from cowboy ciao, then you will like their <dish>Salmon River salad</dish> which is basically the same thing minus the tomato's and black currants. It was pretty comparable- the salmon was a little different like a cooked smoked salmon but still was pretty mouth watering. I think its the buttermilk dressing that does it.  They always have good <dish>soup</dish> as well......not always a vegetarian one though. But given the name I guess this isn't really the place for vegetarians. I am not sure but do they even sell ham here??"""
KIhHU87UJMw9MMLEoVxkdQ,"Nella's vast selection and below-average prices had me seriously excited when I walked in for what should have been the first purchase of many--a beautiful, 10-inch frying pan that turned out to be defective (it did not sit flat on my ceramic burner). When I returned with pan and receipt in hand, the store would not replace it but instead directed me to the manufacturer in California--a slow and expensive non-solution to my problem. I live walking distance from Nella and had looked forward to updating my kitchen gear there. I'd rather take my business to a store that values customer loyalty and stands behind what it sells.",0
1fi_d9uqLAYLcsyCiHYCSw,This daycare is top notch! I've trusted KRK with the care of my boys for 5 years now and don't regret a minute of it.  The education is wonderful. My three year old Is already writing his name.  Long hours and monthly parent-night out events.  Check them out!,0
7RTwUpuPFnIHPoTmWJpWhQ,"Really, I would give this place 3.5 stars. It is a great, relaxing place to spend a cool day. DO NOT go when it is hot - you will be miserable and so are the animals. Overall, this is a pretty standard, older zoo. What distinguishes it, though, is the amazing desert backdrops. The best areas of the zoo are those that reflect the local landscape, especially the big horn sheep area dramatically set against Papago Peak.   As an aside, the <dish>kettle corn</dish> made on site is really good as well. If you want a salty-sweet snack, this is the way to go.",0
